Date: 8th feb
Description: testing data set after 1 hr
r,g,b,h,s,v,l,a,lab,y,cr,cb, val, prediction
90,41,58,170,139,90,61,153,128,58,151,128,300,309.91183253500003
89,41,58,169,138,89,61,152,127,57,151,129,300,304.14841671399967
89,41,58,169,138,89,61,152,127,57,151,129,300,304.14841671399967
89,40,59,168,140,89,60,153,127,57,151,129,300,308.6491116699996
89,41,58,169,138,89,61,152,127,57,151,129,300,304.14841671399967
88,40,58,169,139,88,59,153,127,56,151,129,300,301.1292685609996
88,41,57,170,136,88,60,152,128,57,150,128,300,297.90253081300006
86,39,61,166,139,86,58,153,124,56,149,131,300,301.1513449189998
87,39,61,166,141,87,58,154,124,56,150,131,300,300.309337994
87,39,61,166,141,87,58,154,124,56,150,131,300,300.309337994
87,39,61,166,141,87,58,154,124,56,150,131,300,300.309337994
89,41,58,169,138,89,61,152,127,57,151,129,300,304.14841671399967
89,41,58,169,138,89,61,152,127,57,151,129,300,304.14841671399967
89,41,58,169,138,89,61,152,127,57,151,129,300,304.14841671399967
87,39,61,166,141,87,58,154,124,56,150,131,300,300.309337994
86,39,61,166,139,86,58,153,124,56,149,131,300,301.1513449189998
89,41,58,169,138,89,61,152,127,57,151,129,300,304.14841671399967
89,41,58,169,138,89,61,152,127,57,151,129,300,304.14841671399967
89,41,58,169,138,89,61,152,127,57,151,129,300,304.14841671399967
89,40,58,169,140,89,60,153,127,57,151,129,300,311.62555537799966
87,39,61,166,141,87,58,154,124,56,150,131,300,300.309337994
86,39,61,166,139,86,58,153,124,56,149,131,300,301.1513449189998
87,39,61,166,141,87,58,154,124,56,150,131,300,300.309337994
89,40,58,169,140,89,60,153,127,57,151,129,300,311.62555537799966
89,41,58,169,138,89,61,152,127,57,151,129,300,304.14841671399967
89,41,58,169,138,89,61,152,127,57,151,129,300,304.14841671399967
89,41,58,169,138,89,61,152,127,57,151,129,300,304.14841671399967
88,39,61,167,142,88,59,153,125,56,151,131,300,315.69836153699987
